split,dataset,source_image_id,source_file_name,placed_file_name,categories,source_path,output_path,status,manual_check_required
train,002,789,-poor_housekeeping-100-_jpg.rf.e942820a255a90a21d58c02db27d36be.jpg,002__-poor_housekeeping-100-_jpg.rf.e942820a255a90a21d58c02db27d36be.jpg,guardrail_missing|poor_housekeeping,data/002/train/-poor_housekeeping-100-_jpg.rf.e942820a255a90a21d58c02db27d36be.jpg,data/phase1_feasibility/train/002__-poor_housekeeping-100-_jpg.rf.e942820a255a90a21d58c02db27d36be.jpg,copy,False
train,004,41,IMG20241113160506_jpg.rf.5d0a96a25a92a7955f38a3d9c5667012.jpg,004__IMG20241113160506_jpg.rf.5d0a96a25a92a7955f38a3d9c5667012.jpg,safe|unsafe,data/004/train/IMG20241113160506_jpg.rf.5d0a96a25a92a7955f38a3d9c5667012.jpg,data/phase1_feasibility/train/004__IMG20241113160506_jpg.rf.5d0a96a25a92a7955f38a3d9c5667012.jpg,copy,False
train,004,4,IMG_20241113_162214244_jpg.rf.1a34c516ab4f4c781e22568e5d5c0d4e.jpg,004__IMG_20241113_162214244_jpg.rf.1a34c516ab4f4c781e22568e5d5c0d4e.jpg,no helmet|no jacket,data/004/train/IMG_20241113_162214244_jpg.rf.1a34c516ab4f4c781e22568e5d5c0d4e.jpg,data/phase1_feasibility/train/004__IMG_20241113_162214244_jpg.rf.1a34c516ab4f4c781e22568e5d5c0d4e.jpg,copy,False
train,002,58,-harness_missing-173-_JPG.rf.1b3788f5de722cccff4e576fd0b719ad.jpg,002__-harness_missing-173-_JPG.rf.1b3788f5de722cccff4e576fd0b719ad.jpg,harness_missing,data/002/train/-harness_missing-173-_JPG.rf.1b3788f5de722cccff4e576fd0b719ad.jpg,data/phase1_feasibility/train/002__-harness_missing-173-_JPG.rf.1b3788f5de722cccff4e576fd0b719ad.jpg,copy,False
train,002,53,-opening_unprotected-103-_jpg.rf.459f6d7be1f9f15587eb61785fccdd70.jpg,002__-opening_unprotected-103-_jpg.rf.459f6d7be1f9f15587eb61785fccdd70.jpg,opening_unprotected,data/002/train/-opening_unprotected-103-_jpg.rf.459f6d7be1f9f15587eb61785fccdd70.jpg,data/phase1_feasibility/train/002__-opening_unprotected-103-_jpg.rf.459f6d7be1f9f15587eb61785fccdd70.jpg,copy,False
train,002,612,-poor_housekeeping-57-_jpg.rf.716b1a4ee118def5673279e634b65390.jpg,002__-poor_housekeeping-57-_jpg.rf.716b1a4ee118def5673279e634b65390.jpg,poor_housekeeping,data/002/train/-poor_housekeeping-57-_jpg.rf.716b1a4ee118def5673279e634b65390.jpg,data/phase1_feasibility/train/002__-poor_housekeeping-57-_jpg.rf.716b1a4ee118def5673279e634b65390.jpg,copy,False
train,002,418,-helmet_missing-41-_JPG.rf.b81cde8c0e08b20dba8c62440b37b710.jpg,002__-helmet_missing-41-_JPG.rf.b81cde8c0e08b20dba8c62440b37b710.jpg,helmet_missing,data/002/train/-helmet_missing-41-_JPG.rf.b81cde8c0e08b20dba8c62440b37b710.jpg,data/phase1_feasibility/train/002__-helmet_missing-41-_JPG.rf.b81cde8c0e08b20dba8c62440b37b710.jpg,copy,False
train,004,64,IMG_20241113_161834365_jpg.rf.865f5e1c2a2bed61b4b41b816a1d3936.jpg,004__IMG_20241113_161834365_jpg.rf.865f5e1c2a2bed61b4b41b816a1d3936.jpg,no helmet,data/004/train/IMG_20241113_161834365_jpg.rf.865f5e1c2a2bed61b4b41b816a1d3936.jpg,data/phase1_feasibility/train/004__IMG_20241113_161834365_jpg.rf.865f5e1c2a2bed61b4b41b816a1d3936.jpg,copy,False
train,004,58,IMG20241113161837_jpg.rf.8bf9302c28bf817c86a9a2f44e4b601b.jpg,004__IMG20241113161837_jpg.rf.8bf9302c28bf817c86a9a2f44e4b601b.jpg,no helmet|unsafe,data/004/train/IMG20241113161837_jpg.rf.8bf9302c28bf817c86a9a2f44e4b601b.jpg,data/phase1_feasibility/train/004__IMG20241113161837_jpg.rf.8bf9302c28bf817c86a9a2f44e4b601b.jpg,copy,False
train,002,676,-equipment_proximity-140-_jpg.rf.acddf5f5459e9e527182ac9885089c44.jpg,002__-equipment_proximity-140-_jpg.rf.acddf5f5459e9e527182ac9885089c44.jpg,equipment_proximity,data/002/train/-equipment_proximity-140-_jpg.rf.acddf5f5459e9e527182ac9885089c44.jpg,data/phase1_feasibility/train/002__-equipment_proximity-140-_jpg.rf.acddf5f5459e9e527182ac9885089c44.jpg,copy,False
train,002,210,-opening_unprotected-71-_jpg.rf.70678c8e8cbaee7952f0357d062245b4.jpg,002__-opening_unprotected-71-_jpg.rf.70678c8e8cbaee7952f0357d062245b4.jpg,opening_unprotected,data/002/train/-opening_unprotected-71-_jpg.rf.70678c8e8cbaee7952f0357d062245b4.jpg,data/phase1_feasibility/train/002__-opening_unprotected-71-_jpg.rf.70678c8e8cbaee7952f0357d062245b4.jpg,copy,False
train,002,579,-guardrail_missing-125-_JPG.rf.c5c6a25b5bb091162b938194d236d249.jpg,002__-guardrail_missing-125-_JPG.rf.c5c6a25b5bb091162b938194d236d249.jpg,guardrail_missing,data/002/train/-guardrail_missing-125-_JPG.rf.c5c6a25b5bb091162b938194d236d249.jpg,data/phase1_feasibility/train/002__-guardrail_missing-125-_JPG.rf.c5c6a25b5bb091162b938194d236d249.jpg,copy,False
train,002,496,-equipment_proximity-164-_jpg.rf.6e7aa00612610073affbe2dd88091a4d.jpg,002__-equipment_proximity-164-_jpg.rf.6e7aa00612610073affbe2dd88091a4d.jpg,equipment_proximity,data/002/train/-equipment_proximity-164-_jpg.rf.6e7aa00612610073affbe2dd88091a4d.jpg,data/phase1_feasibility/train/002__-equipment_proximity-164-_jpg.rf.6e7aa00612610073affbe2dd88091a4d.jpg,copy,False
train,002,71,-harness_missing-178-_JPG.rf.2a862345c37eebdd29f68287f63e93c9.jpg,002__-harness_missing-178-_JPG.rf.2a862345c37eebdd29f68287f63e93c9.jpg,harness_missing,data/002/train/-harness_missing-178-_JPG.rf.2a862345c37eebdd29f68287f63e93c9.jpg,data/phase1_feasibility/train/002__-harness_missing-178-_JPG.rf.2a862345c37eebdd29f68287f63e93c9.jpg,copy,False
train,004,125,IMG20241113162159_jpg.rf.ec599e01d4aa7b392b14cc1ef6ce4987.jpg,004__IMG20241113162159_jpg.rf.ec599e01d4aa7b392b14cc1ef6ce4987.jpg,unsafe,data/004/train/IMG20241113162159_jpg.rf.ec599e01d4aa7b392b14cc1ef6ce4987.jpg,data/phase1_feasibility/train/004__IMG20241113162159_jpg.rf.ec599e01d4aa7b392b14cc1ef6ce4987.jpg,copy,False
train,002,546,-poor_housekeeping-97-_jpg.rf.aff338168a610cd88e9aec2be48960b2.jpg,002__-poor_housekeeping-97-_jpg.rf.aff338168a610cd88e9aec2be48960b2.jpg,poor_housekeeping,data/002/train/-poor_housekeeping-97-_jpg.rf.aff338168a610cd88e9aec2be48960b2.jpg,data/phase1_feasibility/train/002__-poor_housekeeping-97-_jpg.rf.aff338168a610cd88e9aec2be48960b2.jpg,copy,False
train,004,122,IMG20241113161724_jpg.rf.e106b9c47e7e6f5ac7140af477d82ac3.jpg,004__IMG20241113161724_jpg.rf.e106b9c47e7e6f5ac7140af477d82ac3.jpg,no helmet,data/004/train/IMG20241113161724_jpg.rf.e106b9c47e7e6f5ac7140af477d82ac3.jpg,data/phase1_feasibility/train/004__IMG20241113161724_jpg.rf.e106b9c47e7e6f5ac7140af477d82ac3.jpg,copy,False
train,004,20,IMG_20241113_162212970_jpg.rf.305ea90d9ab6203fbd029972df7fa34e.jpg,004__IMG_20241113_162212970_jpg.rf.305ea90d9ab6203fbd029972df7fa34e.jpg,no helmet|no jacket,data/004/train/IMG_20241113_162212970_jpg.rf.305ea90d9ab6203fbd029972df7fa34e.jpg,data/phase1_feasibility/train/004__IMG_20241113_162212970_jpg.rf.305ea90d9ab6203fbd029972df7fa34e.jpg,copy,False
train,002,293,-helmet_missing-88-_JPG.rf.0f360b801b38aa61de94a22032d2d280.jpg,002__-helmet_missing-88-_JPG.rf.0f360b801b38aa61de94a22032d2d280.jpg,helmet_missing,data/002/train/-helmet_missing-88-_JPG.rf.0f360b801b38aa61de94a22032d2d280.jpg,data/phase1_feasibility/train/002__-helmet_missing-88-_JPG.rf.0f360b801b38aa61de94a22032d2d280.jpg,copy,False
train,004,75,IMG_20241113_161403_jpg.rf.85f3f2a315e13fe0a267363215e044ab.jpg,004__IMG_20241113_161403_jpg.rf.85f3f2a315e13fe0a267363215e044ab.jpg,no helmet|safe|unsafe,data/004/train/IMG_20241113_161403_jpg.rf.85f3f2a315e13fe0a267363215e044ab.jpg,data/phase1_feasibility/train/004__IMG_20241113_161403_jpg.rf.85f3f2a315e13fe0a267363215e044ab.jpg,copy,False
train,004,5,IMG20241113160437_jpg.rf.2275a949f622fa0ddce6811159d800ab.jpg,004__IMG20241113160437_jpg.rf.2275a949f622fa0ddce6811159d800ab.jpg,no helmet|no jacket|unsafe,data/004/train/IMG20241113160437_jpg.rf.2275a949f622fa0ddce6811159d800ab.jpg,data/phase1_feasibility/train/004__IMG20241113160437_jpg.rf.2275a949f622fa0ddce6811159d800ab.jpg,copy,False
train,002,618,-poor_housekeeping-6-_jpg.rf.5d5965561e80707446d772d84af9bd8d.jpg,002__-poor_housekeeping-6-_jpg.rf.5d5965561e80707446d772d84af9bd8d.jpg,poor_housekeeping,data/002/train/-poor_housekeeping-6-_jpg.rf.5d5965561e80707446d772d84af9bd8d.jpg,data/phase1_feasibility/train/002__-poor_housekeeping-6-_jpg.rf.5d5965561e80707446d772d84af9bd8d.jpg,copy,False
